f1,f2,f3,f4
1.496974557447578263e+03,3.969275731694570823e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.834864698773548753e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.180760913209264118e+03,2.102798021669244918e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.630695926707530589e+03,2.754279916776323716e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.728512373556671719e+03,2.880390905760782061e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.039602274187352123e+03,2.288515990307501397e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.413932352147088523e+03,2.278409136682231747e+03,3.749023043386991958e+03,0.000000000000000000e+00
1.328086992891583577e+03,1.902425601296965851e+03,2.858569693550016382e+03,0.000000000000000000e+00
1.688458025985710947e+03,2.729042493630452100e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.585297985741878165e+03,2.621275036998020369e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.791480913009377673e+03,2.590494668452800852e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.186537109648998012e+02,2.071953785301262997e+03,2.504369700006829135e+03,0.000000000000000000e+00
9.375015202286183467e+02,1.802845581914788681e+03,2.632828297638536242e+03,0.000000000000000000e+00
7.734408849185718964e+02,1.566929141007876069e+03,2.286439235790510793e+03,0.000000000000000000e+00
5.716851169240362651e+02,1.694486660571947368e+03,2.593195670815781796e+03,0.000000000000000000e+00
1.177742629474711066e+03,2.080936831071312554e+03,2.438531895984511721e+03,0.000000000000000000e+00
1.457178782123270139e+03,1.686833075913432367e+03,2.557091160743412729e+03,0.000000000000000000e+00
1.892690234319390129e+03,2.782811124655482217e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.216976585034145955e+03,2.818254902873163246e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.212954595207701004e+03,2.708067866094018882e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.242092728032830109e+03,2.711686778649725511e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.232414071938907909e+03,2.731327806934132241e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.305386463793075109e+03,2.627153456362324505e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.334508031202782377e+02,2.513240609089577902e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.062231217876108076e+03,2.381638497728716629e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.888126000959439807e+03,2.452728789917967788e+03,3.187396791090127408e+03,0.000000000000000000e+00
1.808061942975160036e+03,2.504967202624818128e+03,2.906992410938429657e+03,0.000000000000000000e+00
2.301908652698057722e+03,2.452750425320796239e+03,2.509912375807040007e+03,0.000000000000000000e+00
2.423349668636900333e+03,2.545281451036790713e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.673366474720072574e+02,2.312443577631984226e+03,3.634380155212498721e+03,0.000000000000000000e+00
1.505185740429470798e+03,2.475237496745555745e+03,0.000000000000000000e+00,0.000000000000000000e+00
