time_s,freq_hz
1.388181405895691611e+01,1.722656250000000000e+02
1.388462585034013586e+01,1.722656250000000000e+02
1.388743764172335737e+01,1.722656250000000000e+02
1.389024943310657711e+01,1.291992187500000000e+02
1.389306122448979686e+01,1.291992187500000000e+02
1.389587301587301660e+01,8.613281250000000000e+01
1.389868480725623634e+01,8.613281250000000000e+01
1.390149659863945608e+01,8.613281250000000000e+01
1.390430839002267582e+01,8.613281250000000000e+01
1.390712018140589556e+01,8.613281250000000000e+01
1.390993197278911708e+01,8.613281250000000000e+01
1.391274376417233682e+01,8.613281250000000000e+01
1.391555555555555657e+01,8.613281250000000000e+01
1.391836734693877631e+01,8.613281250000000000e+01
1.392117913832199605e+01,8.613281250000000000e+01
1.392399092970521579e+01,8.613281250000000000e+01
1.392680272108843553e+01,2.153320312500000000e+02
1.392961451247165527e+01,2.153320312500000000e+02
1.393242630385487679e+01,2.153320312500000000e+02
1.393523809523809653e+01,1.722656250000000000e+02
1.393804988662131628e+01,2.153320312500000000e+02
1.394086167800453602e+01,2.153320312500000000e+02
1.394367346938775576e+01,2.153320312500000000e+02
1.394648526077097550e+01,1.722656250000000000e+02
1.394929705215419524e+01,1.291992187500000000e+02
1.395210884353741498e+01,1.291992187500000000e+02
1.395492063492063473e+01,1.291992187500000000e+02
1.395773242630385624e+01,1.291992187500000000e+02
1.396054421768707599e+01,1.291992187500000000e+02
1.396335600907029573e+01,2.153320312500000000e+02
1.396616780045351547e+01,2.153320312500000000e+02
1.396897959183673521e+01,2.153320312500000000e+02
1.397179138321995495e+01,2.153320312500000000e+02
1.397460317460317469e+01,2.153320312500000000e+02
1.397741496598639444e+01,1.291992187500000000e+02
1.398022675736961595e+01,1.291992187500000000e+02
1.398303854875283569e+01,1.291992187500000000e+02
1.398585034013605544e+01,1.291992187500000000e+02
1.398866213151927518e+01,1.291992187500000000e+02
1.399147392290249492e+01,1.722656250000000000e+02
1.399428571428571466e+01,1.722656250000000000e+02
1.399709750566893440e+01,1.722656250000000000e+02
1.399990929705215414e+01,1.722656250000000000e+02
1.400272108843537566e+01,1.291992187500000000e+02
1.400553287981859540e+01,1.291992187500000000e+02
1.400834467120181515e+01,8.613281250000000000e+01
1.401115646258503489e+01,8.613281250000000000e+01
1.401396825396825463e+01,1.722656250000000000e+02
1.401678004535147437e+01,1.291992187500000000e+02
1.401959183673469411e+01,1.722656250000000000e+02
1.402240362811791385e+01,8.613281250000000000e+01
1.402521541950113360e+01,8.613281250000000000e+01
1.402802721088435511e+01,1.291992187500000000e+02
1.403083900226757486e+01,1.291992187500000000e+02
1.403365079365079460e+01,1.291992187500000000e+02
1.403646258503401434e+01,1.291992187500000000e+02
1.403927437641723408e+01,1.291992187500000000e+02
1.404208616780045382e+01,1.291992187500000000e+02
1.404489795918367356e+01,1.291992187500000000e+02
1.404770975056689331e+01,8.613281250000000000e+01
1.405052154195011482e+01,2.153320312500000000e+02
1.405333333333333456e+01,2.153320312500000000e+02
1.405614512471655431e+01,1.722656250000000000e+02
1.405895691609977405e+01,1.722656250000000000e+02
1.406176870748299379e+01,1.722656250000000000e+02
1.406458049886621353e+01,1.722656250000000000e+02
1.406739229024943327e+01,1.722656250000000000e+02
1.407020408163265301e+01,1.722656250000000000e+02
1.407301587301587453e+01,1.722656250000000000e+02
1.407582766439909427e+01,2.153320312500000000e+02
1.407863945578231402e+01,8.613281250000000000e+01
1.408145124716553376e+01,8.613281250000000000e+01
1.408426303854875350e+01,1.291992187500000000e+02
1.408707482993197324e+01,1.291992187500000000e+02
1.408988662131519298e+01,1.291992187500000000e+02
1.409269841269841272e+01,1.291992187500000000e+02
1.409551020408163247e+01,1.722656250000000000e+02
1.409832199546485398e+01,1.722656250000000000e+02
